question,question_id,question_source,answers,prompt,model_output,parsed_answer,parsed_confidence
"The result of dividing a number into one is called the what, of that number?",odql_11465,http://www.odquiz.org.uk/,"['Reciprocal (disambiguation)', 'reciprocal', 'reciprocality', 'reciprocal disambiguation', 'Reciprocality', 'Reciprocal', 'Reciprocals', 'reciprocals', 'RECIPROCAL']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: The result of dividing a number into one is called the what, of that number?","{""answer"": ""one"", ""confidence"": 100}",one,100.0
In which London pub did Ronnie Kray murder George Cornell?,bb_32,http://www.businessballs.com/,"['blind beggar', 'Blind Beggar', 'The Blind Beggar']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: In which London pub did Ronnie Kray murder George Cornell?","{""answer"": ""The Eagle"", ""confidence"": 90}",The Eagle,90.0
What is the most exclusive hotel in Brook Street London,bt_1653,http://billturnbull.quiz4free.com/,"['Claridges', ""Mivart's Hotel"", 'claridge s', 'Claridges Hotel', ""Claridge's Hotel"", 'claridge s hotel', 'mivart s hotel', 'claridges hotel', 'claridges', ""Claridge's""]","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What is the most exclusive hotel in Brook Street London","? 
{""answer"": ""The Goring"", ""confidence"": 100} 
{""answer"": ""The Ritz"", ""confidence"": 80} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Goring"", ""confidence"": 100} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Goring"", ""confidence"": 100} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90} 
{""answer"": ""The Savoy"", ""confidence"": 90",The Goring,100.0
Which US bus company was founded in Minnesota in 1914?,qb_7454,http://www.quizballs.com/,"['Greyhound Neon', 'greyhound lines', 'Greyhound México', 'Greyhound Buses', 'Greyhound Lines Inc.', 'Greyhound Lines, Inc.', 'greyhound méxico', 'YO! Bus', 'Greyhound (bus line)', 'Greyhound lines', 'Neon Bus', 'Greyhound Bus', 'greyhound buses', 'Greyhound Bus Lines', 'greyhound bus', 'greyhound usa', 'yo bus', 'Carolina Coach Company', 'Greyhound (Lines Inc)', 'greyhound express', 'greyhound lines inc', 'Greyhound USA', 'carolina coach company', 'greyhound bus lines', 'Greyhound bus', 'Greyhound Express', 'greyhound bus line', 'Yo! Bus', 'neon bus', 'greyhound neon', 'Greyhound Lines']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which US bus company was founded in Minnesota in 1914?","{""answer"": ""Greyhound"", ""confidence"": 80} 

Note: Greyhound was founded in Minnesota in 1914, but I'm not 100% certain about the founding year.",Greyhound,80.0
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,qz_1417,https://www.quiz-zone.co.uk/,"['bowie disambiguation', 'bowie', 'Bowie', 'Bowie (disambiguation)']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?","Mick Jagger and Keith Richards were the primary songwriters of the song.

Answer: ""Jagger"" (Confidence: 80)",,
Which US born blues musician has a Gibson guitar called Lucille?,sfq_22948,www.sfquiz.org.uk,"[""B.B. King's"", 'B.b. king', 'b b king blues club', 'bb king', 'B.B King', 'blues b b king album', 'B.B. Kings', 'B.B. King Blues Club & Grill', 'b b king', 'The Blues (B.B. King album)', 'B. B. King', 'BB King', 'BB king', 'riley b king', 'b b king s', 'Blues Boy King', 'b b king blues club grill', 'B B King', 'B.B. King', 'b b kings', 'riley king', 'Riley B. King', 'blues boy king', 'B.B.King', 'B.B. King Blues Club', 'Bb king', 'Riley King', 'The Blues (B. B. King album)']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which US born blues musician has a Gibson guitar called Lucille?","{""answer"": ""Robert Johnson"", ""confidence"": 99} 
{""answer"": ""B.B. King"", ""confidence"": 99} 
{""answer"": ""T-Bone Walker"", ""confidence"": 0} 
{""answer"": ""Elvis Presley"", ""confidence"": 0} 
{""answer"": ""Buddy Holly"", ""confidence"": 0} 
{""answer"": ""Jerry Lee Lewis"", ""confidence"": 0} 
{""answer"": ""Hank Williams Sr."", ""confidence"": 0} 
{""answer"": ""Waylon Jennings"", ""confidence"": 0} 
{""answer"": ""Muddy Waters"", ""confidence"": 0} 
{""answer"": ""Little Richard"", ""confidence"": 0} 
{""answer"": ""John Lee Hooker"", ""confidence"": 0} 
{""answer"": ""Big Mama Thornton"", ""confidence"": 0} 
{""answer"": ""Buddy Rogers"", ""confidence"": 0} 
{""answer"": ""Eddie Cochran"", ""confidence"": 0} 
{""answer"": ""Roy Orbison"", ""confidence"": 0} 
{""answer"": ""Wayne Lewis"", ""confidence"": 0} 
{""answer"": ""Jimmy W. Duncan"", ""confidence"": 0} 
{""answer"": ""Lester Ray Brown"", ""confidence"": 0} 
{""answer"": ""Robert Johnson"", ""confidence"": 99} 
{""answer"": ""B.B. King"",",Robert Johnson,99.0
"On a regular clockface, which number lies opposite 5?",qb_9620,http://www.quizballs.com/,"['11', 'eleven']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: On a regular clockface, which number lies opposite 5?","{""answer"": ""4"", ""confidence"": 100} 

(Note: This is a classic question in mathematics and geography.)",4,100.0
What was the profession of Loretta Lynn's father?,jp_2767,www.jetpunk.com,"['Coal extraction', 'Highwall', 'Coalminer', 'Coal seam', 'environmental impacts of coal mining', 'Opencast coal mining', 'Surface coal mine', 'underground coal mine', 'Coalmining', 'coal field', 'Underground coal mine', 'Coal-mine', 'Coal miner', 'Environmental impacts of coal mining', 'Coal-miner', 'Coal pit', 'highwall', 'Underground coal mining', 'coal miner', 'colliery', 'coal mines', 'Mining coal', 'coal mine', 'Coalworks', 'Coal mined', 'coalmining', 'coal mined', 'Deep mine', 'Coal mining', 'Collieries', 'Coal-mining', 'coalmine', 'opencast coal mining', 'Coal field', 'Coal mines', 'coal extraction', 'Coal Mining', 'mining coal', 'coal production', 'Coal production', 'coalminer', 'coal mining', 'Opencast coalmine', 'surface coal mine', 'opencast coalmine', 'Coal mine', 'Coalmine', 'underground coal mining', 'environmental impact of coal mining', 'deep mine', 'Coal Miner', 'coal seam', 'collieries', 'Environmental impact of coal mining', 'Coal seams', 'Colliery', 'coal pit', 'coal seams', 'coalworks']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What was the profession of Loretta Lynn's father?","{""answer"": ""Musician"", ""confidence"": 90} 

(Note: Loretta Lynn was a country music singer, songwriter, and musician.)",Musician,90.0
In criminal slang what is a peterman?,sfq_3154,www.sfquiz.org.uk,"['safe breaker', 'SAFE BREAKER']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: In criminal slang what is a peterman?","{""answer"": ""A Peterman is a term used to describe a person who has been convicted of a serious crime, typically involving violence or property damage."", ""confidence"": 90}","A Peterman is a term used to describe a person who has been convicted of a serious crime, typically involving violence or property damage.",90.0
"What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?",qg_1015,https://quizguy.wordpress.com/,"['Titanic', 'RMS titanic', 'rms titanik', 'Titanick', 'S. S. Titanic', 'H.M.S. Titanic', 'RMS Titanik', 'Titantic', '100th anniversary of the sinking of the RMS Titanic', 'Rms titanic', 'Eliza Gladys Milvina Dean', 'Titanic Related Films', 'August Weikman', '100th anniversary of sinking of rms titanic', 'rms titanic', 'titanic related films', 'Provisioning of the RMS Titanic', 'eliza gladys milvina dean', 'rms titantic', 'rms 22titanic 22', 'The Titanic', 'RMS %22Titanic%22', 'RMS TITANIC', 'Titanic victim', 'Royal Mail Steamer Titanic', 'provisioning of rms titanic', 'titanick', 'titanic ship', 'TitaniC', 'titanicc', 'ss titanic', 'RMS Titanick', 'barbara joyce west', 'r m s titanic', 'john van billard', '3909 04', 'hms titanic', 'S.S. Titanic', 'John van Billard', 'HMS Titanic', 'R.M.S. Titanic', 'titantic', 'titanic', 'rms titanick', 's s titanic', 'royal mail steamer titanic', 'Titanicc', 'RMS Titanic', 'Titanic (ship)', 'Rms Titanic', 'Titanic passenger', 'august weikman', 'h m s titanic', 'R.M.S Titanic', 'titanic passenger', 'SS Titanic', 'Provisioning (RMS Titanic)', 'provisioning rms titanic', 'titanic victim', 'Barbara Joyce West', 'RMS TITANTIC', 'R. M. S. Titanic']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?","(Ans: HMS Ambrose)

{""answer"": ""HMS Ambrose"", ""confidence"": 80}",HMS Ambrose,80.0
